Sentence,Sentiment,label,cleaned_sentence
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",negative,0,Many of the commercial vessels had got stuck in the narrow Bay of Bothnia  where the ice is thicker  and around the Aaland islands
"potential defect with third-row seat belts. Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/YVYDncdNdi",negative,0,potential defect with thirdrow seat belts Tesla Motors recalls  Model X SUVs
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",positive,2,Excluding nonrecurring items  pretax profit surged   to EURm
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",neutral,1,Profit before taxes was EUR  mn  down from EUR  mn
$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,positive,2,Long setup Watch for continuation and volume expansion here Hot sector
$SPY weak close,negative,0,weak close
"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",neutral,1,According to the company  in addition to normal seasonal fluctuation the market situation has weakened during autumn
$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,positive,2,up  since  buy signal resistance   expect  pullback nd half of day or  break abov   continue rally for  days
He wore a black beanie-type cap and a black jacket .,neutral,1,He wore a black beanietype cap and a black jacket
Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .,neutral,1,Nokia s US shares were  percent lower at   by  GMT
The ISO certification demonstrates that we are moving forward in our quality commitments to our customers . ',positive,2,The ISO certification demonstrates that we are moving forward in our quality commitments to our customers
Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS .,positive,2,Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS
$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,neutral,1,X recall not a big deal the problem is now they will have an excuse to guide way way lower
"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",positive,2,India s trade with Russia currently stands at four billion dollars  growing  per cent in fiscal
$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,positive,2,Momentum building for breakout trigger  Long setup
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",neutral,1,Comparable operating profit totaled EUR  mn  down from EUR  mn in the corresponding period in   representing   of net sales
"Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V reported on Thursday 30 October an operating profit of EUR7 .4 m for January-September 2008 , up from EUR6 .1 m in the corresponding period in 2007 .",positive,2,Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki  OKMV reported on Thursday  October an operating profit of EUR  m for JanuarySeptember   up from EUR  m in the corresponding period in
Meggitt share price tumbles as profit falls in 'challenging year',negative,0,Meggitt share price tumbles as profit falls in challenging year
"Motorola , the world 's second-largest maker of cell phones , unveiled the new phone Tuesday in a bid to resurrect its ailing handset business .",neutral,1,Motorola  the world s secondlargest maker of cell phones  unveiled the new phone Tuesday in a bid to resurrect its ailing handset business
The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,neutral,1,The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil  RSPO
"According to Soosalu , particular attention was paid to residents privacy and security in the design of the Aleksandri Street building .",neutral,1,According to Soosalu  particular attention was paid to residents privacy and security in the design of the Aleksandri Street building
"`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .",positive,2,The margarine business has been put into good shape in the last two years  making it a natural addition to Bunge  which is looking to leverage its position in the Central and Northern European markets   Raisio CEO Matti Rihko said in a statement
"- Inge Larsen (CFO), 29,045 shares , representing 0.50 % of the share capital .",neutral,1,Inge Larsen CFO  shares  representing   of the share capital
"Nurminen Logistics provides high-quality logistics services , such as railway transports , terminal services , forwarding , special and heavy transports and medical transports .",neutral,1,Nurminen Logistics provides highquality logistics services  such as railway transports  terminal services  forwarding  special and heavy transports and medical transports
"After the sale , Outokumpu 's share of the technology unit will be reduced to some 12-20 percent .",neutral,1,After the sale  Outokumpu s share of the technology unit will be reduced to some  percent
The sale price was not disclosed .,neutral,1,The sale price was not disclosed
